Name,Set,Type,Quantity,Prev Raw Price,Raw Price,Delta Raw Price,Prev PSA 10 Price,PSA 10 Price,Delta PSA 10 Price,Delta Raw Total,lookupID,ID
Piplup,Brilliant Stars,Reverse Holo,2,0,1.52,1.52,0,27.96,27.96,3.04,pokemon-brilliant-stars/piplup-reverse-holo-35,950
Prinplup,Brilliant Stars,Normal,1,0,0.86,0.86,0,25.48,25.48,0.86,pokemon-brilliant-stars/prinplup-36,419
Professor's Research,Brilliant Stars,Normal,1,0,1.22,1.22,0,27.62,27.62,1.22,pokemon-brilliant-stars/professor's-research-147,1075
Purrloin,Brilliant Stars,Normal,1,0,0.73,0.73,0,25.0,25.0,0.73,pokemon-brilliant-stars/purrloin-90,219
Sawk,Brilliant Stars,Normal,2,0,0.73,0.73,0,25.0,25.0,1.46,pokemon-brilliant-stars/sawk-81,450
Shinx,Brilliant Stars,Reverse Holo,1,0,1.01,1.01,0,26.04,26.04,1.01,pokemon-brilliant-stars/shinx-reverse-holo-49,35
Shroomish,Brilliant Stars,Normal,2,0,0.73,0.73,0,25.0,25.0,1.46,pokemon-brilliant-stars/shroomish-3,397
Sigilyph,Brilliant Stars,Normal,2,0,0.7,0.7,0,24.91,24.91,1.4,pokemon-brilliant-stars/sigilyph-66,609
Sneasel,Brilliant Stars,Reverse Holo,1,0,1.01,1.01,0,26.04,26.04,1.01,pokemon-brilliant-stars/sneasel-reverse-holo-86,556
Starmie,Brilliant Stars,Normal,2,0,0.58,0.58,0,24.43,24.43,1.16,pokemon-brilliant-stars/starmie-55,74
Staryu,Brilliant Stars,Normal,2,0,0.84,0.84,0,51.79,51.79,1.68,pokemon-brilliant-stars/staryu-30,733
Team Yell's Cheer,Brilliant Stars,Normal,1,0,0.83,0.83,0,25.36,25.36,0.83,pokemon-brilliant-stars/team-yell's-cheer-149,1497
Team Yell's Cheer,Brilliant Stars,Reverse Holo,1,0,0.95,0.95,0,25.84,25.84,0.95,pokemon-brilliant-stars/team-yell's-cheer-reverse-holo-149,762
Throh,Brilliant Stars,Normal,1,0,0.89,0.89,0,26.04,26.04,0.89,pokemon-brilliant-stars/throh-80,778
Tornadus,Brilliant Stars,Reverse Holo,1,0,1.09,1.09,0,26.64,26.64,1.09,pokemon-brilliant-stars/tornadus-reverse-holo-126,1032
Trapinch,Brilliant Stars,Normal,2,0,0.73,0.73,0,25.0,25.0,1.46,pokemon-brilliant-stars/trapinch-74,264
Abomasnow [Snowflake Stamp],Chilling Reign,Normal,1,0,1.3,1.3,0,0.0,0.0,1.3,pokemon-chilling-reign/abomasnow-snowflake-stamp-10,642
Agatha,Chilling Reign,Normal,4,0,0.47,0.47,0,23.95,23.95,1.88,pokemon-chilling-reign/agatha-129,884
Agatha,Chilling Reign,Reverse Holo,1,0,0.89,0.89,0,25.57,25.57,0.89,pokemon-chilling-reign/agatha-reverse-holo-129,282
Aggron,Chilling Reign,Normal,2,0,0.94,0.94,0,25.91,25.91,1.88,pokemon-chilling-reign/aggron-111,1131
Aron,Chilling Reign,Normal,2,0,0.83,0.83,0,25.35,25.35,1.66,pokemon-chilling-reign/aron-109,309
Aron,Chilling Reign,Reverse Holo,2,0,0.86,0.86,0,25.46,25.46,1.72,pokemon-chilling-reign/aron-reverse-holo-109,77
Avery,Chilling Reign,Normal,3,0,0.99,0.99,0,25.97,25.97,2.97,pokemon-chilling-reign/avery-130,701
Banette,Chilling Reign,Normal,1,0,1.01,1.01,0,40.7,40.7,1.01,pokemon-chilling-reign/banette-63,251
Blitzle,Chilling Reign,Normal,7,0,0.73,0.73,0,24.99,24.99,5.11,pokemon-chilling-reign/blitzle-50,56
Bounsweet,Chilling Reign,Normal,1,0,0.84,0.84,0,25.38,25.38,0.84,pokemon-chilling-reign/bounsweet-13,742
Brawly,Chilling Reign,Normal,1,0,0.85,0.85,0,25.43,25.43,0.85,pokemon-chilling-reign/brawly-131,290
Brawly,Chilling Reign,Normal,1,0,4.2,4.2,0,22.57,22.57,4.2,pokemon-chilling-reign/brawly-212,1543
Caitlin,Chilling Reign,Normal,2,0,0.85,0.85,0,25.43,25.43,1.7,pokemon-chilling-reign/caitlin-132,415
Caitlin,Chilling Reign,Reverse Holo,3,0,1.18,1.18,0,13.5,13.5,3.54,pokemon-chilling-reign/caitlin-reverse-holo-132,737
Castform,Chilling Reign,Normal,2,0,1.24,1.24,0,26.57,26.57,2.48,pokemon-chilling-reign/castform-121,1429
Castform Rainy Form,Chilling Reign,Normal,2,0,0.84,0.84,0,25.41,25.41,1.68,pokemon-chilling-reign/castform-rainy-form-33,786
Castform Snowy Form,Chilling Reign,Normal,1,0,0.85,0.85,0,25.43,25.43,0.85,pokemon-chilling-reign/castform-snowy-form-34,1692
Castform Sunny Form,Chilling Reign,Normal,3,0,1.07,1.07,0,26.28,26.28,3.21,pokemon-chilling-reign/castform-sunny-form-22,1049
Cinderace,Chilling Reign,Normal,1,0,1.28,1.28,0,27.04,27.04,1.28,pokemon-chilling-reign/cinderace-28,266
Clobbopus,Chilling Reign,Normal,7,0,0.77,0.77,0,25.43,25.43,5.39,pokemon-chilling-reign/clobbopus-91,55
Crabominable,Chilling Reign,Normal,3,0,0.91,0.91,0,25.66,25.66,2.73,pokemon-chilling-reign/crabominable-85,1017
Crabrawler,Chilling Reign,Normal,6,0,0.73,0.73,0,0.0,0.0,4.38,pokemon-chilling-reign/crabrawler-84,84
Cresselia,Chilling Reign,Normal,1,0,1.09,1.09,0,27.93,27.93,1.09,pokemon-chilling-reign/cresselia-64,248
Deerling,Chilling Reign,Reverse Holo,1,0,1.01,1.01,0,26.03,26.03,1.01,pokemon-chilling-reign/deerling-reverse-holo-11,271
Delibird,Chilling Reign,Normal,3,0,1.01,1.01,0,55.27,55.27,3.03,pokemon-chilling-reign/delibird-32,204
Diglett,Chilling Reign,Normal,1,0,0.9,0.9,0,25.6,25.6,0.9,pokemon-chilling-reign/diglett-76,1293
Doctor,Chilling Reign,Reverse Holo,1,0,0.95,0.95,0,24.99,24.99,0.95,pokemon-chilling-reign/doctor-reverse-holo-134,866
Dugtrio,Chilling Reign,Normal,1,0,0.85,0.85,0,25.43,25.43,0.85,pokemon-chilling-reign/dugtrio-77,459
Dyna Tree Hill,Chilling Reign,Normal,3,0,0.98,0.98,0,25.91,25.91,2.94,pokemon-chilling-reign/dyna-tree-hill-135,276
Echoing Horn,Chilling Reign,Normal,4,0,0.85,0.85,0,25.43,25.43,3.4,pokemon-chilling-reign/echoing-horn-136,616
Electrode,Chilling Reign,Normal,1,0,8.13,8.13,0,35.51,35.51,8.13,pokemon-chilling-reign/electrode-222,1309
Fire Resistant Gloves,Chilling Reign,Normal,4,0,0.73,0.73,0,24.99,24.99,2.92,pokemon-chilling-reign/fire-resistant-gloves-138,314
Flaaffy,Chilling Reign,Normal,2,0,0.73,0.73,0,24.99,24.99,1.46,pokemon-chilling-reign/flaaffy-48,31
Flannery,Chilling Reign,Normal,5,0,0.75,0.75,0,25.04,25.04,3.75,pokemon-chilling-reign/flannery-139,1162
Fog Crystal,Chilling Reign,Normal,4,0,0.86,0.86,0,25.46,25.46,3.44,pokemon-chilling-reign/fog-crystal-140,146
Furfrou,Chilling Reign,Normal,4,0,0.87,0.87,0,25.01,25.01,3.48,pokemon-chilling-reign/furfrou-126,205
Galarian Chestplate,Chilling Reign,Normal,1,0,0.73,0.73,0,0.0,0.0,0.73,pokemon-chilling-reign/galarian-chestplate-141,1129
Galarian Farfetch'd,Chilling Reign,Normal,7,0,0.79,0.79,0,25.21,25.21,5.53,pokemon-chilling-reign/galarian-farfetch'd-78,200
Galarian Farfetch'd,Chilling Reign,Reverse Holo,1,0,0.81,0.81,0,25.27,25.27,0.81,pokemon-chilling-reign/galarian-farfetch'd-reverse-holo-78,708
Galarian Sirfetch'd,Chilling Reign,Normal,1,0,1.21,1.21,0,26.79,26.79,1.21,pokemon-chilling-reign/galarian-sirfetch'd-79,367
Galarian Slowking VMAX,Chilling Reign,Normal,3,0,1.64,1.64,0,22.91,22.91,4.92,pokemon-chilling-reign/galarian-slowking-vmax-100,389
Galarian Slowpoke,Chilling Reign,Normal,9,0,0.98,0.98,0,11.1,11.1,8.82,pokemon-chilling-reign/galarian-slowpoke-54,4
Galarian Weezing,Chilling Reign,Normal,1,0,1.12,1.12,0,26.45,26.45,1.12,pokemon-chilling-reign/galarian-weezing-96,1511
Galarian Weezing,Chilling Reign,Reverse Holo,1,0,1.38,1.38,0,27.49,27.49,1.38,pokemon-chilling-reign/galarian-weezing-reverse-holo-96,1346
Galarian Yamask,Chilling Reign,Normal,5,0,0.79,0.79,0,0.0,0.0,3.95,pokemon-chilling-reign/galarian-yamask-82,515
Gallade,Chilling Reign,Normal,1,0,0.89,0.89,0,25.57,25.57,0.89,pokemon-chilling-reign/gallade-81,316
Gallade,Chilling Reign,Reverse Holo,1,0,0.9,0.9,0,25.6,25.6,0.9,pokemon-chilling-reign/gallade-reverse-holo-81,650
Gastly,Chilling Reign,Normal,4,0,1.32,1.32,0,28.62,28.62,5.28,pokemon-chilling-reign/gastly-55,458
Golett,Chilling Reign,Normal,1,0,0.65,0.65,0,0.0,0.0,0.65,pokemon-chilling-reign/golett-65,365
Grapploct,Chilling Reign,Normal,1,0,0.93,0.93,0,25.71,25.71,0.93,pokemon-chilling-reign/grapploct-92,1396
Greedent,Chilling Reign,Reverse Holo,2,0,0.94,0.94,0,26.11,26.11,1.88,pokemon-chilling-reign/greedent-reverse-holo-128,117
Grookey,Chilling Reign,Normal,3,0,0.89,0.89,0,25.32,25.32,2.67,pokemon-chilling-reign/grookey-16,141
Grookey,Chilling Reign,Reverse Holo,1,0,0.97,0.97,0,26.26,26.26,0.97,pokemon-chilling-reign/grookey-reverse-holo-16,476
Hatenna,Chilling Reign,Normal,1,0,0.73,0.73,0,0.0,0.0,0.73,pokemon-chilling-reign/hatenna-71,899
Hattrem,Chilling Reign,Normal,1,0,0.68,0.68,0,24.79,24.79,0.68,pokemon-chilling-reign/hattrem-72,1492
Haunter,Chilling Reign,Normal,3,0,1.29,1.29,0,29.6,29.6,3.87,pokemon-chilling-reign/haunter-56,37
Haunter,Chilling Reign,Reverse Holo,1,0,1.12,1.12,0,26.51,26.51,1.12,pokemon-chilling-reign/haunter-reverse-holo-56,575
Heracross,Chilling Reign,Normal,5,0,0.77,0.77,0,10.36,10.36,3.85,pokemon-chilling-reign/heracross-6,259
Honey,Chilling Reign,Normal,2,0,0.87,0.87,0,25.49,25.49,1.74,pokemon-chilling-reign/honey-142,245
Ice Rider Calyrex VMAX,Chilling Reign,Normal,1,0,1.48,1.48,0,19.31,19.31,1.48,pokemon-chilling-reign/ice-rider-calyrex-vmax-46,1438
Inkay,Chilling Reign,Normal,1,0,0.98,0.98,0,41.11,41.11,0.98,pokemon-chilling-reign/inkay-69,643
Inkay,Chilling Reign,Reverse Holo,1,0,0.73,0.73,0,25.69,25.69,0.73,pokemon-chilling-reign/inkay-reverse-holo-69,557
Inteleon,Chilling Reign,Normal,1,0,1.14,1.14,0,0.0,0.0,1.14,pokemon-chilling-reign/inteleon-43,320
Justified Gloves,Chilling Reign,Normal,1,0,0.91,0.91,0,25.66,25.66,0.91,pokemon-chilling-reign/justified-gloves-143,1159
Justified Gloves,Chilling Reign,Reverse Holo,1,0,0.85,0.85,0,25.43,25.43,0.85,pokemon-chilling-reign/justified-gloves-reverse-holo-143,24
Kakuna,Chilling Reign,Normal,3,0,0.73,0.73,0,24.99,24.99,2.19,pokemon-chilling-reign/kakuna-2,78
Karen's Conviction,Chilling Reign,Normal,2,0,0.73,0.73,0,24.99,24.99,1.46,pokemon-chilling-reign/karen's-conviction-144,1441
Karen's Conviction,Chilling Reign,Normal,1,0,4.97,4.97,0,29.6,29.6,4.97,pokemon-chilling-reign/karen's-conviction-216,153
Kecleon,Chilling Reign,Normal,1,0,0.95,0.95,0,12.21,12.21,0.95,pokemon-chilling-reign/kecleon-122,1249
Kirlia,Chilling Reign,Normal,1,0,0.99,0.99,0,25.94,25.94,0.99,pokemon-chilling-reign/kirlia-60,1426
Klara,Chilling Reign,Normal,2,0,1.21,1.21,0,20.88,20.88,2.42,pokemon-chilling-reign/klara-145,73
Klara,Chilling Reign,Reverse Holo,4,0,0.87,0.87,0,33.29,33.29,3.48,pokemon-chilling-reign/klara-reverse-holo-145,27
Koffing,Chilling Reign,Normal,11,0,0.98,0.98,0,36.99,36.99,10.78,pokemon-chilling-reign/koffing-94,49
Kubfu,Chilling Reign,Normal,6,0,1.16,1.16,0,26.62,26.62,6.96,pokemon-chilling-reign/kubfu-93,318
Lairon,Chilling Reign,Normal,4,0,0.61,0.61,0,24.51,24.51,2.44,pokemon-chilling-reign/lairon-110,113
Lapras,Chilling Reign,Normal,1,0,0.83,0.83,0,25.21,25.21,0.83,pokemon-chilling-reign/lapras-29,1805
Ledian,Chilling Reign,Normal,1,0,0.73,0.73,0,25.04,25.04,0.73,pokemon-chilling-reign/ledian-5,1550
Ledyba,Chilling Reign,Normal,2,0,0.53,0.53,0,24.17,24.17,1.06,pokemon-chilling-reign/ledyba-4,437
Lucky Energy,Chilling Reign,Normal,2,0,1.1,1.1,0,26.34,26.34,2.2,pokemon-chilling-reign/lucky-energy-158,18
Lycanroc,Chilling Reign,Holo,3,0,0.99,0.99,0,74.0,74.0,2.97,pokemon-chilling-reign/lycanroc-holo-87,498
Mareep,Chilling Reign,Normal,2,0,0.75,0.75,0,25.07,25.07,1.5,pokemon-chilling-reign/mareep-47,6
Metagross VMAX,Chilling Reign,Normal,1,0,1.75,1.75,0,30.01,30.01,1.75,pokemon-chilling-reign/metagross-vmax-113,1090
Old Cemetery,Chilling Reign,Normal,1,0,0.93,0.93,0,25.71,25.71,0.93,pokemon-chilling-reign/old-cemetery-147,483
Old Cemetery,Chilling Reign,Reverse Holo,1,0,1.44,1.44,0,27.69,27.69,1.44,pokemon-chilling-reign/old-cemetery-reverse-holo-147,1280
Path to the Peak,Chilling Reign,Normal,1,0,1.21,1.21,0,26.82,26.82,1.21,pokemon-chilling-reign/path-to-the-peak-148,203
Peonia,Chilling Reign,Normal,5,0,0.89,0.89,0,25.57,25.57,4.45,pokemon-chilling-reign/peonia-149,421
Peony,Chilling Reign,Normal,3,0,0.88,0.88,0,25.55,25.55,2.64,pokemon-chilling-reign/peony-150,402
Peony,Chilling Reign,Reverse Holo,1,0,0.91,0.91,0,25.66,25.66,0.91,pokemon-chilling-reign/peony-reverse-holo-150,340
Porygon,Chilling Reign,Normal,5,0,0.88,0.88,0,25.55,25.55,4.4,pokemon-chilling-reign/porygon-116,446
Porygon-Z,Chilling Reign,Normal,1,0,1.05,1.05,0,34.25,34.25,1.05,pokemon-chilling-reign/porygon-z-118,755
Porygon2,Chilling Reign,Normal,3,0,0.95,0.95,0,25.63,25.63,2.85,pokemon-chilling-reign/porygon2-117,494
Qwilfish,Chilling Reign,Normal,7,0,0.77,0.77,0,25.15,25.15,5.39,pokemon-chilling-reign/qwilfish-101,466
Raboot,Chilling Reign,Normal,3,0,0.98,0.98,0,25.8,25.8,2.94,pokemon-chilling-reign/raboot-27,892
Ralts,Chilling Reign,Normal,5,0,1.07,1.07,0,11.1,11.1,5.35,pokemon-chilling-reign/ralts-59,213
Rapid Strike Scroll of the Skies,Chilling Reign,Normal,5,0,0.85,0.85,0,25.43,25.43,4.25,pokemon-chilling-reign/rapid-strike-scroll-of-the-skies-151,1048
Rockruff,Chilling Reign,Normal,1,0,0.98,0.98,0,11.1,11.1,0.98,pokemon-chilling-reign/rockruff-86,1122
Sawsbuck,Chilling Reign,Normal,1,0,0.94,0.94,0,25.77,25.77,0.94,pokemon-chilling-reign/sawsbuck-12,1655
Scolipede,Chilling Reign,Normal,1,0,0.98,0.98,0,25.6,25.6,0.98,pokemon-chilling-reign/scolipede-107,859
Scorbunny,Chilling Reign,Normal,3,0,0.84,0.84,0,25.32,25.32,2.52,pokemon-chilling-reign/scorbunny-26,53
Sealeo,Chilling Reign,Normal,4,0,0.87,0.87,0,0.0,0.0,3.48,pokemon-chilling-reign/sealeo-38,255
Seviper,Chilling Reign,Normal,1,0,0.96,0.96,0,25.86,25.86,0.96,pokemon-chilling-reign/seviper-102,445
Shuppet,Chilling Reign,Normal,2,0,0.64,0.64,0,5.55,5.55,1.28,pokemon-chilling-reign/shuppet-62,412
Siebold,Chilling Reign,Reverse Holo,1,0,1.09,1.09,0,26.34,26.34,1.09,pokemon-chilling-reign/siebold-reverse-holo-153,876
Single Strike Scroll of Piercing,Chilling Reign,Normal,2,0,1.0,1.0,0,0.0,0.0,2.0,pokemon-chilling-reign/single-strike-scroll-of-piercing-154,3
Skwovet,Chilling Reign,Normal,3,0,0.76,0.76,0,25.1,25.1,2.28,pokemon-chilling-reign/skwovet-127,1449
Slurpuff,Chilling Reign,Normal,2,0,1.01,1.01,0,25.55,25.55,2.02,pokemon-chilling-reign/slurpuff-68,870
Sneasel,Chilling Reign,Normal,6,0,0.83,0.83,0,25.35,25.35,4.98,pokemon-chilling-reign/sneasel-30,88
Snorunt,Chilling Reign,Normal,5,0,1.1,1.1,0,0.0,0.0,5.5,pokemon-chilling-reign/snorunt-35,1
Snorunt,Chilling Reign,Reverse Holo,1,0,1.04,1.04,0,26.17,26.17,1.04,pokemon-chilling-reign/snorunt-reverse-holo-35,1047
Snover,Chilling Reign,Normal,4,0,0.73,0.73,0,24.99,24.99,2.92,pokemon-chilling-reign/snover-9,168
Sobble,Chilling Reign,Normal,5,0,1.08,1.08,0,26.31,26.31,5.4,pokemon-chilling-reign/sobble-41,763
Spheal,Chilling Reign,Normal,1,0,0.53,0.53,0,24.23,24.23,0.53,pokemon-chilling-reign/spheal-37,45
Spiral Energy,Chilling Reign,Normal,4,0,0.93,0.93,0,25.71,25.71,3.72,pokemon-chilling-reign/spiral-energy-159,574
Steenee,Chilling Reign,Normal,1,0,0.78,0.78,0,26.4,26.4,0.78,pokemon-chilling-reign/steenee-14,1354
Steenee,Chilling Reign,Reverse Holo,1,0,0.87,0.87,0,25.46,25.46,0.87,pokemon-chilling-reign/steenee-reverse-holo-14,504
Swirlix,Chilling Reign,Normal,4,0,0.99,0.99,0,25.46,25.46,3.96,pokemon-chilling-reign/swirlix-67,488
Thundurus,Chilling Reign,Normal,1,0,1.09,1.09,0,26.34,26.34,1.09,pokemon-chilling-reign/thundurus-52,711
Thundurus,Chilling Reign,Reverse Holo,1,0,1.26,1.26,0,27.01,27.01,1.26,pokemon-chilling-reign/thundurus-reverse-holo-52,845
Tsareena,Chilling Reign,Normal,1,0,0.96,0.96,0,25.86,25.86,0.96,pokemon-chilling-reign/tsareena-15,1509
Venipede,Chilling Reign,Normal,5,0,0.83,0.83,0,25.35,25.35,4.15,pokemon-chilling-reign/venipede-105,95
Volcanion V,Chilling Reign,Normal,1,0,1.55,1.55,0,15.17,15.17,1.55,pokemon-chilling-reign/volcanion-v-25,667
Volcarona,Chilling Reign,Normal,1,0,0.97,0.97,0,25.89,25.89,0.97,pokemon-chilling-reign/volcarona-24,1338
Walrein,Chilling Reign,Normal,1,0,0.96,0.96,0,25.8,25.8,0.96,pokemon-chilling-reign/walrein-39,1247
Weeding Gloves,Chilling Reign,Normal,2,0,0.74,0.74,0,0.0,0.0,1.48,pokemon-chilling-reign/weeding-gloves-155,764
Weedle,Chilling Reign,Normal,6,0,0.98,0.98,0,25.94,25.94,5.88,pokemon-chilling-reign/weedle-1,96
Weezing,Chilling Reign,Reverse Holo,1,0,1.03,1.03,0,26.11,26.11,1.03,pokemon-chilling-reign/weezing-reverse-holo-95,284
Whirlipede,Chilling Reign,Normal,7,0,0.74,0.74,0,25.01,25.01,5.18,pokemon-chilling-reign/whirlipede-106,101
Zebstrika,Chilling Reign,Reverse Holo,1,0,0.87,0.87,0,25.49,25.49,0.87,pokemon-chilling-reign/zebstrika-reverse-holo-51,33
Absol,Crown Zenith,Reverse Holo,1,0,1.39,1.39,0,27.68,27.68,1.39,pokemon-crown-zenith/absol-reverse-holo-76,199
Altaria #GG19,Crown Zenith,Normal,1,0,2.7,2.7,0,48.1,48.1,2.7,pokemon-crown-zenith/altaria-gg19,699
Aron,Crown Zenith,Normal,5,0,0.81,0.81,0,25.4,25.4,4.05,pokemon-crown-zenith/aron-87,491
Baltoy,Crown Zenith,Normal,5,0,0.27,0.27,0,0.0,0.0,1.35,pokemon-crown-zenith/baltoy-70,479
Baltoy,Crown Zenith,Reverse Holo,1,0,0.98,0.98,0,26.05,26.05,0.98,pokemon-crown-zenith/baltoy-reverse-holo-70,1031
Bea,Crown Zenith,Normal,1,0,1.1,1.1,0,22.33,22.33,1.1,pokemon-crown-zenith/bea-123,1141
Bellossom,Crown Zenith,Normal,4,0,0.88,0.88,0,25.67,25.67,3.52,pokemon-crown-zenith/bellossom-3,227
Bidoof,Crown Zenith,Normal,3,0,0.73,0.73,0,25.49,25.49,2.19,pokemon-crown-zenith/bidoof-111,69
Bisharp,Crown Zenith,Normal,6,0,0.73,0.73,0,25.09,25.09,4.38,pokemon-crown-zenith/bisharp-93,79
